Silent Hunter III
Release Date:
Aug 27, 2002
Sekiro: Shadows Die Twice
88
User:
7.8
Release Date:
Mar 22, 2019
LIMBO
88
User:
8.1
Release Date:
Aug  2, 2011
Crusader Kings II: The Old Gods
88
User:
8.7
Release Date:
May 28, 2013
Assassin's Creed: Brotherhood
88
User:
8.2
Release Date:
Mar 22, 2011
Superbike 2001
88
User:
6.6
Release Date:
Oct  9, 2000
F.E.A.R.
88
User:
8.3
Release Date:
Oct 17, 2005
Kerbal Space Program
88
User:
8.2
Release Date:
Apr 27, 2015
Tribes 2
88
User:
8.3
Release Date:
Mar 28, 2001
Age of Empires II: The Conquerors Expansion
88
User:
9.1
Release Date:
Aug 24, 2000
Tiger Woods PGA Tour 2004
88
User:
7.3
Release Date:
Sep 22, 2003
Warcraft III: The Frozen Throne
88
User:
9.3
Release Date:
Jul  1, 2003
Starcraft
88
User:
9.1
Release Date:
Mar 31, 1998
Far Cry 3
88
User:
8.3
Release Date:
Dec  4, 2012
World Soccer Winning Eleven 8 International
88
User:
7.3
Release Date:
Feb 16, 2005
Torchlight II
88
User:
8.5
Release Date:
Sep 20, 2012
XCOM 2
88
User:
7.2
Release Date:
Feb  5, 2016
Cuphead
88
User:
8.2
Release Date:
Sep 29, 2017
Myth II: Soulblighter
88
User:
8.7
Release Date:
Nov 30, 1998
Return to Castle Wolfenstein
88
User:
8.7
Release Date:
Nov 19, 2001
Ori and the Blind Forest: Definitive Edition
88
User:
8.8
Release Date:
Apr 27, 2016
Shogo: Mobile Armor Division
88
User:
8.4
Release Date:
Sep 30, 1998
Thirty Flights of Loving
88
User:
5.0
Release Date:
Aug 20, 2012
Hearthstone: Heroes of Warcraft
88
User:
5.9
Release Date:
Mar 11, 2014
Unity of Command II
88
User:
6.9
Release Date:
Nov 12, 2019
DOOM Eternal
88
User:
7.5
Release Date:
Mar 20, 2020
