rank,name,popularity,total_rating,total_rating_count,release_date,genre
178,Microsoft Solitaire,3.228910802447448,78.0876489570788,26,1990,Puzzle
179,Orcs Must Die! 2,1.44578216048949,78.07861473875579,59,2012-Jul-30,Shooter
180,Pharaoh,1.445786205424763,78.05685804385661,33,1999,Real Time Strategy (RTS)
181,World of Warcraft Classic,14.59647926545527,78.02654695933771,32,2019-Aug-27,Role-playing (RPG)
182,NEKOPARA Vol. 3,1.0,78.02287581699345,11,2017-May-25,Indie
183,Dark Messiah of Might and Magic,3.006037924411433,78.0120540877237,113,2006-Oct-24,Fighting
184,Artificial Academy 2,309.9270372192162,77.9815347435691,24,2014-Jun-13,Simulator
185,S.T.A.L.K.E.R.: Clear Sky,2.337346481468469,77.9309848923764,78,2008-Aug-22,Shooter
186,HunieCam Studio,3.228931027123814,77.87991723970025,18,2016-Apr-04,Simulator
187,S.T.A.L.K.E.R.: Call of Pripyat,3.006019722202703,77.63265757268394,98,2009-Oct-02,Shooter
188,Race 07,1.0,77.58110695759025,10,2007-Oct-10,Racing
189,Motocross Madness 2,1.445778115533162,77.44105242539955,14,2000-May-26,Racing
190,Final Fantasy XV: Windows Edition,1.0,77.328136138123,11,2018-Mar-06,Fighting
191,Grim Dawn,7.909623487587088,77.221320576366,72,2016-Feb-25,Role-playing (RPG)
192,Midtown Madness 2,1.0,77.11938853194019,24,2000-Sep-22,Racing
193,The Void,1.44578216048949,77.04469503662855,12,2008-Apr-17,Adventure
194,Freelancer,3.897610335260958,76.92883740929724,45,2003-Mar-04,Shooter
195,Spintires,2.783144821699051,76.88979278010609,18,2014-Jun-13,Racing
196,Crysis Warhead,3.228931027123814,76.8522286610617,135,2008-Sep-18,Shooter
197,Post Mortem,1.445778115533162,76.8157537339205,14,2002-Nov-01,Point-and-click
198,Scratches,1.445786205424763,76.7333374587881,13,2006-Mar-08,Point-and-click
199,Atlas Reactor,1.44578216048949,76.71244823603729,12,2016-Oct-04,Fighting
200,Grey Goo,1.44578216048949,76.68941346481215,15,2015-Jan-23,Real Time Strategy (RTS)
201,The Blackwell Legacy,1.668679308137144,76.53716382957235,36,2006-Dec-23,Point-and-click
202,Will Rock,2.114455401223724,76.44667416953686,13,2003-Jun-09,Shooter
203,Orwell,2.337358616274289,76.25834004047124,59,2016-Oct-27,Simulator
