rank,title,score,user_score,release_date
166,Weird Worlds: Return to Infinite Space,7.0,7.0,2005-11-04
167,Bad Dream: Coma,7.9,7.9,2017-03-09
168,Wilson's Heart,7.9,7.9,2017-04-21
169,The Exorcist: Legion VR,tbd,tbd,2017-11-22
170,Bear With Me: Episode Three,7.1,7.1,2017-10-05
171,Runaway: A Twist of Fate,7.9,7.9,2011-04-21
172,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,7.8,7.8,2009-07-07
173,Minit,6.8,6.8,2018-04-03
174,Transpose,tbd,tbd,2018-11-06
175,Strong Bad's Cool Game for Attractive People Episode 3: Baddest of the Bands,6.6,6.6,2008-10-27
176,Sam & Max Episode 102: Situation: Comedy,7.4,7.4,2006-12-20
177,Sam & Max Episode 106: Bright Side of the Moon,6.9,6.9,2007-04-26
178,Goetia,7.1,7.1,2016-04-14
179,The Mooseman,7.3,7.3,2017-02-17
180,Rumu,6.4,6.4,2017-12-12
181,Mutazione,7.6,7.6,2019-09-19
182,Sam & Max Episode 203: Night of the Raving Dead,7.3,7.3,2008-02-12
183,Kelvin and the Infamous Machine,7.5,7.5,2016-07-21
184,Memoria (2013),8.1,8.1,2013-08-29
185,The Last Door,7.6,7.6,2014-05-20
186,The Inner World: The Last Wind Monk,6.5,6.5,2017-10-20
187,Uru: Ages Beyond Myst,7.1,7.1,2003-11-11
188,Batman: The Enemy Within - The Telltale Series,6.9,6.9,2017-08-08
189,Tales From The Borderlands: Episode 4 - Escape Plan Bravo,8.4,8.4,2015-08-18
190,Observation,7.4,7.4,2019-05-21
191,The Gallery - Episode 1: Call of the Starseed,7.6,7.6,2016-04-05
192,LEGO Harry Potter: Years 1-4,7.7,7.7,2010-06-25
193,Nancy Drew: Legend of the Crystal Skull,6.7,6.7,2007-10-08
194,The Walking Dead: Season Two Episode 1 - All That Remains,8.5,8.5,2013-12-17
195,The Journey Down: Chapter Two,7.1,7.1,2014-08-25
196,A Fold Apart,tbd,tbd,2020-04-16
197,LEGO Indiana Jones: The Original Adventures,7.8,7.8,2008-06-03
198,Doki Doki Literature Club!,8.4,8.4,2017-10-06
199,The Walking Dead: Season Two Episode 5 - No Going Back,8.5,8.5,2014-08-26
200,Zero Escape: Zero Time Dilemma,7.8,7.8,2016-06-29
201,Observer,7.8,7.8,2017-08-15
202,A Short Hike,8.3,8.3,2019-07-30
203,Ken Follett's The Pillars of the Earth,7.8,7.8,2017-08-15
204,The Room VR: A Dark Matter,7.6,7.6,2020-03-26
205,Arcade Spirits,tbd,tbd,2019-02-12
206,Transference,5.9,5.9,2018-09-18
207,Murder by Numbers,7.0,7.0,2020-03-06
208,Chaos on Deponia,8.3,8.3,2012-11-06
209,That Dragon Cancer,6.1,6.1,2016-01-11
210,King's Quest Chapter 3: Once Upon a Climb,5.5,5.5,2016-04-26
211,Lydia,7.7,7.7,2017-06-02
212,EVERYTHING,5.4,5.4,2017-04-21
213,We Were Here Together,5.6,5.6,2019-10-10
214,Pilgrims,8.3,8.3,2019-10-07
215,Marvel's Guardians of the Galaxy: The Telltale Series,7.5,7.5,2017-04-18
216,Vader Immortal: Episode I,tbd,tbd,2019-05-21
217,The Walking Dead: Season Two Episode 4 - Amid the Ruins,8.1,8.1,2014-07-22
218,Myst Online: Uru Live,7.4,7.4,2007-01-15
219,The Sojourn,6.4,6.4,2019-09-20
220,The Walking Dead: 400 Days,7.6,7.6,2013-07-03
221,Nancy Drew: The Ransom of the Seven Ships,7.4,7.4,2009-07-14
222,RiME,7.1,7.1,2017-05-26
223,The Infectious Madness of Doctor Dekker,6.2,6.2,2017-05-19
224,Eastshade,8.0,8.0,2019-02-13
225,Joe Dever's Lone Wolf HD Remastered,6.8,6.8,2014-11-27
226,AR-K Episode 3: The Great Escape,7.8,7.8,2015-07-14
227,A Fisherman's Tale,5.0,5.0,2019-01-10
228,Tales From The Borderlands: Episode 2 - Atlas Mugged,8.7,8.7,2015-03-17
229,Five Nights at Freddy's,7.2,7.2,2014-08-08
230,Chook & Sosig: Walk the Plank,tbd,tbd,2019-06-17
231,Nancy Drew: Last Train to Blue Moon Canyon,7.4,7.4,2005-09-16
232,The Walking Dead: The Telltale Series - The Final Season Episode 4: Take Us Back,8.5,8.5,2019-03-26
233,BEAUTIFUL DESOLATION,7.6,7.6,2020-02-26
234,Whispers of a Machine,7.3,7.3,2019-04-17
235,Sherlock Holmes: Crimes & Punishments,7.7,7.7,2014-09-29
236,Al Emmo and the Lost Dutchman's Mine,7.1,7.1,2006-09-06
237,Zeno Clash,7.8,7.8,2009-04-21
238,I Expect You To Die,8.2,8.2,2016-11-30
239,The Walking Dead: The Telltale Series - The Final Season,7.9,7.9,2018-08-13
240,Herald: An Interactive Period Drama,tbd,tbd,2017-02-22
241,VA-11 Hall-A: Cyberpunk Bartender Action,8.3,8.3,2016-06-21
242,Tales of Monkey Island Chapter 2: The Siege of Spinner Cay,7.4,7.4,2009-08-20
243,Orwell,7.0,7.0,2016-10-27
244,Penny Arcade Adventures: Episode One,8.2,8.2,2008-05-21
245,Still There,8.1,8.1,2019-11-20
246,Game of Thrones: Episode Three - The Sword in the Darkness,7.7,7.7,2015-03-24
247,Salammbo: Battle of Carthage,7.8,7.8,2003-05-08
248,The Void,8.2,8.2,2009-12-15
249,Lumo,6.0,6.0,2016-05-24
250,Lost Horizon,7.5,7.5,2010-09-24
251,The Lion's Song,7.5,7.5,2016-07-07
252,A Case of Distrust,5.6,5.6,2018-02-08
253,Batman: The Enemy Within - Episode 4: What Ails You,7.1,7.1,2018-01-22
254,Kathy Rain,7.6,7.6,2016-05-05
255,Penny Arcade Adventures: Episode Three,7.3,7.3,2012-06-25
256,Aviary Attorney,7.4,7.4,2015-12-21
257,Actual Sunlight,6.5,6.5,2013-01-03
258,Three Fourths Home,5.4,5.4,2015-03-20
259,Magical Eyes - Red is for Anguish,tbd,tbd,2016-03-30
260,Law & Order: Justice Is Served,6.0,6.0,2004-10-05
261,Cognition: An Erica Reed Thriller Episode 3 - The Oracle,7.5,7.5,2013-06-30
262,Hamilton's Great Adventure,7.1,7.1,2011-05-31
263,Dark Train,tbd,tbd,2016-10-25
264,Full Throttle Remastered,7.5,7.5,2017-04-18
265,Game of Thrones: Episode Four - Sons of Winter,7.7,7.7,2015-05-26
266,From Dust,4.9,4.9,2011-08-17
267,Batman: The Enemy Within - Episode 1: The Enigma,6.7,6.7,2017-08-08
268,Haunted,7.5,7.5,2012-11-15
269,Tacoma,6.5,6.5,2017-08-01
270,Resonance,7.6,7.6,2012-06-19
271,Fester Mudd: Curse of the Gold - Episode 1,7.7,7.7,2013-03-04
272,Detective Gallo,7.1,7.1,2018-05-30
273,Old Man's Journey,6.4,6.4,2017-05-17
