rank,title,score,user_score,release_date
274,Mount & Blade: Warband,8.9,8.9,2010-03-30
275,Fallout 3: The Pitt,6.9,6.9,2009-03-24
276,Kingdom Come: Deliverance - A Woman's Lot,7.7,7.7,2019-05-28
277,EverQuest II: The Shadow Odyssey,8.4,8.4,2008-11-17
278,Crashlands,7.8,7.8,2016-01-21
279,Dungelot: Shattered Lands,6.8,6.8,2016-02-18
280,Shadows of Adam,6.9,6.9,2017-02-23
281,The Chronicles of Nyanya,8.2,8.2,2018-02-16
282,Titan Quest,8.1,8.1,2006-06-26
283,Arx Fatalis,8.3,8.3,2002-11-11
284,Tower of Time,8.1,8.1,2018-04-12
285,DeathSpank,7.6,7.6,2010-10-25
286,Expeditions: Conquistador,8.1,8.1,2013-05-30
287,The Elder Scrolls Online: Morrowind,6.7,6.7,2017-05-22
288,Baldur's Gate: Siege of Dragonspear,3.7,3.7,2016-03-31
289,World of Final Fantasy,7.7,7.7,2017-11-21
290,Iratus: Lord of the Dead,6.9,6.9,2020-04-23
291,The Incredible Adventures of Van Helsing II,7.7,7.7,2014-06-13
292,Echoes Of Aetheria,7.1,7.1,2016-01-15
293,Child of Light,8.1,8.1,2014-04-29
294,Darksiders Genesis,7.7,7.7,2019-12-05
295,Cosmic Star Heroine,7.2,7.2,2017-04-11
296,The Chronicles of Spellborn,8.1,8.1,2009-04-23
297,Anachronox,7.9,7.9,2001-06-27
298,Dragon Age: Inquisition - Trespasser,7.7,7.7,2015-09-09
299,Might & Magic: Heroes VI,5.9,5.9,2011-10-13
300,Tales of Zestiria,7.5,7.5,2015-10-19
301,Curse of the Dead Gods,tbd,tbd,2020-03-03
302,Risen,8.0,8.0,2009-10-02
303,Penny Arcade Adventures: Episode Three,7.3,7.3,2012-06-25
304,Star Wars Galaxies: Jump to Lightspeed,6.5,6.5,2004-10-26
305,TERA,6.8,6.8,2012-05-01
306,LISA: The Painful,8.6,8.6,2014-12-15
307,EVE Online: Commissioned Officer Edition,8.0,8.0,2010-10-19
308,Ys VI: The Ark of Napishtim,7.9,7.9,2015-04-28
309,Dark Age of Camelot: Darkness Rising,8.0,8.0,2005-10-11
310,Secret World Legends,5.1,5.1,2017-06-26
