rank,title,score,user_score,release_date
335,Call of Duty: Modern Warfare 2 Campaign Remastered,7.3,7.3,2020-04-30
336,F.E.A.R. 3,5.8,5.8,2011-06-21
337,Wolfenstein,7.3,7.3,2009-08-18
338,ArmA: Combat Operations,7.6,7.6,2007-05-04
339,Call of Duty: Black Ops II,4.5,4.5,2012-11-12
340,Destination: Treasure Island,7.0,7.0,2007-08-21
341,Battlefield 4: Naval Strike,5.4,5.4,2014-04-15
342,Mirror's Edge Catalyst,5.2,5.2,2016-06-07
343,Virginia,4.9,4.9,2016-09-22
344,Law & Order II: Double or Nothing,6.0,6.0,2003-09-30
345,Niko: Through The Dream,7.8,7.8,2015-07-17
346,The Beast Inside,7.7,7.7,2019-10-17
347,Medal of Honor: Allied Assault - Spearhead,7.5,7.5,2002-11-12
348,Delta Force: Land Warrior,7.7,7.7,2000-11-07
349,Mirage: Arcane Warfare,3.7,3.7,2017-05-23
350,Shadow Warrior,8.0,8.0,2013-09-26
351,Far Cry New Dawn,3.7,3.7,2019-02-15
352,Superliminal,7.9,7.9,2019-11-12
353,ArmA II: Operation Arrowhead,8.1,8.1,2010-06-29
354,Lightmatter,7.8,7.8,2020-01-15
355,Battleground Europe: World War II Online,7.8,7.8,2006-08-01
356,East Side Story - A Carol Reed Mystery,tbd,tbd,2007-09-14
357,Bloody Good Time,7.6,7.6,2010-10-29
358,Hard Reset Redux,6.5,6.5,2016-06-03
359,Battlefield 3: Close Quarters,6.9,6.9,2012-06-26
360,Borderlands: The Pre-Sequel - Claptastic Voyage and Ultimate Vault Hunter Upgrade Pack 2,5.3,5.3,2015-03-24
361,Call of Duty: Infinite Warfare,3.6,3.6,2016-11-03
362,Strike Vector,7.7,7.7,2014-01-28
363,Frontlines: Fuel of War,6.9,6.9,2008-02-25
364,Hard Reset,7.3,7.3,2011-09-13
365,Kona,7.4,7.4,2016-03-10
366,RAGE 2,5.4,5.4,2019-05-13
367,HAWKEN,7.7,7.7,2012-12-12
368,Vietcong: Fist Alpha,7.5,7.5,2004-02-04
369,Draugen,6.9,6.9,2019-05-29
370,Call of Duty: WWII,3.6,3.6,2017-11-02
371,Call of Duty: Black Ops III,3.1,3.1,2015-11-05
372,Secret Ponchos: Most Wanted,7.7,7.7,2015-10-13
373,Windlands 2,tbd,tbd,2018-09-12
374,Medal of Honor: Allied Assault - Breakthrough,6.6,6.6,2003-09-22
375,Layers of Fear,7.5,7.5,2016-02-16
376,Serious Sam 3: BFE,8.1,8.1,2011-11-22
377,Zombie Army 4: Dead War,5.3,5.3,2020-02-04
378,Loadout,7.3,7.3,2013-05-15
379,Block N Load,7.6,7.6,2015-04-30
380,Tom Clancy's Rainbow Six 3: Athena Sword,7.1,7.1,2004-03-09
381,Shattered Horizon,8.0,8.0,2009-11-04
382,Star Wars Battlefront,3.5,3.5,2015-11-17
383,Blood II: The Chosen,7.3,7.3,1998-10-31
384,Wild Earth: Photo Safari,6.7,6.7,2006-05-02
385,Call of Juarez,7.7,7.7,2007-06-12
386,Medal of Honor,6.4,6.4,2010-10-12
387,Section 8,6.9,6.9,2009-08-25
388,Riddle of the Sphinx 2: The Omega Stone,6.9,6.9,2003-03-19
389,Qbeh-1: The Atlas Cube,7.8,7.8,2014-05-15
390,Duke Nukem 3D: 20th Anniversary World Tour,6.7,6.7,2016-10-11
391,Dark Messiah of Might and Magic,8.7,8.7,2006-10-24
392,Heavy Bullets,7.6,7.6,2014-05-15
393,Borderlands 3: Guns Love and Tentacles,5.0,5.0,2020-03-26
394,Homesick,7.1,7.1,2015-05-28
395,Halo 2,5.8,5.8,2007-05-31
396,The Sum of All Fears,7.2,7.2,2002-05-28
397,The Station,6.6,6.6,2018-02-19
398,XIII,7.7,7.7,2003-11-18
399,Far Cry 5: Hours of Darkness,4.4,4.4,2018-06-05
400,Halo 2: Anniversary,8.8,8.8,2020-05-12
401,Uru: The Path of the Shell,7.0,7.0,2004-07-07
402,Killing Floor,8.6,8.6,2009-05-14
403,Screencheat,7.3,7.3,2014-10-21
404,Conarium,6.4,6.4,2017-06-06
405,Apsulov: End of Gods,7.1,7.1,2019-08-08
406,Arktika.1,8.3,8.3,2017-10-10
407,The Shattering,6.4,6.4,2020-04-21
408,Gray Dawn,7.5,7.5,2018-06-07
409,Battlefield 2: Euro Force,6.7,6.7,2006-03-15
410,The Elder Scrolls Online,5.8,5.8,2014-04-04
411,Battlefield Hardline,4.1,4.1,2015-03-17
412,Keep Talking and Nobody Explodes,8.0,8.0,2015-10-08
413,Aporia: Beyond The Valley,7.0,7.0,2017-07-19
414,Sherlock Holmes: Nemesis,7.2,7.2,2008-04-14
415,Nuclear Dawn,7.5,7.5,2011-09-22
416,TimeShift,7.5,7.5,2007-10-30
417,KISS: Psycho Circus - The Nightmare Child,7.3,7.3,2000-07-18
418,Half-Life: Blue Shift,8.2,8.2,2001-06-11
419,Voyage: Inspired by Jules Verne,6.6,6.6,2005-08-18
420,Combat Arms,4.9,4.9,2008-07-10
421,Groundhog Day: Like Father Like Son,tbd,tbd,2019-09-17
422,Post Mortem,7.4,7.4,2003-02-27
423,Sniper Ghost Warrior Contracts,6.7,6.7,2019-11-22
424,Men of Valor,6.0,6.0,2004-10-29
425,Hellgate: London,6.3,6.3,2007-10-31
426,Nosferatu: The Wrath of Malachi,7.4,7.4,2003-10-19
427,H1Z1,4.1,4.1,2018-02-28
428,Sanctum (2011),6.7,6.7,2011-04-15
429,007: Quantum of Solace,6.0,6.0,2008-11-04
430,Indygo,tbd,tbd,2017-10-24
431,Brink,6.0,6.0,2011-05-09
432,World War Z,5.9,5.9,2019-04-16
433,Fallout: New Vegas - Dead Money,6.3,6.3,2011-02-22
434,America's Army 3,7.7,7.7,2009-06-17
435,BioShock Infinite: Burial at Sea - Episode One,7.8,7.8,2013-11-12
436,Verdun,7.8,7.8,2015-04-28
437,Layers of Fear: Inheritance,6.9,6.9,2016-08-02
438,Immortal Redneck,7.3,7.3,2017-04-25
439,Law & Order: Dead on the Money,7.5,7.5,2002-09-24
440,Project IGI: I'm Going In,7.7,7.7,2000-12-15
441,Retrovirus,6.7,6.7,2013-01-31
442,Homefront,5.5,5.5,2011-03-14
443,Delta Force: Black Hawk Down - Team Sabre,7.3,7.3,2004-01-20
444,The Fidelio Incident,6.3,6.3,2017-05-23
445,Wolfenstein: Youngblood,2.2,2.2,2019-07-26
446,Chrome,6.9,6.9,2003-10-28
447,Rhem 3: The Secret Library,tbd,tbd,2008-02-28
448,Battleborn,7.1,7.1,2016-05-03
449,BioShock Infinite: Clash in the Clouds,6.5,6.5,2013-07-30
450,We Were Here Too,6.1,6.1,2018-02-02
451,DOOM VFR,8.1,8.1,2017-11-30
452,Iron Storm,5.4,5.4,2002-10-25
453,DESYNC,7.5,7.5,2017-02-28
454,Cryostasis: The Sleep of Reason,7.7,7.7,2009-04-24
455,The Signal From Tolva,5.7,5.7,2017-04-10
456,Vader Immortal: Episode II,tbd,tbd,2019-09-25
457,Tannenberg,7.3,7.3,2019-02-13
458,Pariah,5.9,5.9,2005-05-03
459,Quake III: Team Arena,7.6,7.6,2000-12-18
460,Etherborn,7.6,7.6,2019-07-18
461,Borderlands: Claptrap's New Robot Revolution,6.3,6.3,2010-09-28
462,Lichdom: Battlemage,6.8,6.8,2014-03-19
463,Syndicate (2012),5.9,5.9,2012-02-21
