rank,title,score,user_score,release_date
145,Wargame: AirLand Battle,8.0,8.0,2013-05-29
146,Total War: Attila,7.4,7.4,2015-02-17
147,Total War: Three Kingdoms - Mandate of Heaven,7.3,7.3,2020-01-16
148,Empire Earth II,7.1,7.1,2005-04-26
149,Fractured Space,7.6,7.6,2016-09-22
150,Revenge of the Titans,7.6,7.6,2010-05-24
151,Dungeon of the Endless,7.9,7.9,2014-10-27
152,Star Wars: Empire at War,8.3,8.3,2006-02-15
153,1701 A.D.,7.8,7.8,2006-11-06
154,Emperor: Battle for Dune,8.0,8.0,2001-06-12
155,Kohan: Ahriman's Gift,7.8,7.8,2001-11-05
156,Bloodline Champions,7.7,7.7,2011-01-13
157,Rome: Total War Alexander,7.6,7.6,2006-06-19
158,Sins of a Solar Empire: Diplomacy,8.7,8.7,2010-02-09
159,King Arthur: The Role-Playing Wargame,7.8,7.8,2009-11-24
160,Close Combat: Invasion: Normandy,7.6,7.6,2000-10-10
161,Port Royale,7.6,7.6,2003-06-04
162,Homeworld: Deserts of Kharak,7.9,7.9,2016-01-20
163,Europa Universalis IV: Res Publica,7.0,7.0,2014-07-16
164,Distant Worlds,7.9,7.9,2010-03-25
165,Stellaris,7.9,7.9,2016-05-09
166,Total War: Rome II - Rise of the Republic,6.0,6.0,2018-08-09
167,League of Legends,5.4,5.4,2009-10-27
168,Star Trek Starfleet Command: Orion Pirates,7.6,7.6,2001-07-01
169,Praetorians,7.8,7.8,2003-03-10
170,Hearts of Iron: Platinum,7.3,7.3,2004-09-21
171,Brass Tactics,tbd,tbd,2018-02-22
172,The Lord of the Rings: The Battle for Middle-Earth II - The Rise of the Witch-King,8.5,8.5,2006-11-28
173,Earth 2150,7.7,7.7,2000-06-12
174,Stronghold: Crusader,8.8,8.8,2002-09-25
175,Wargame: Red Dragon,7.9,7.9,2014-04-17
176,Austerlitz: Napoleon's Greatest Victory,6.3,6.3,2002-07-10
177,Awesomenauts,7.9,7.9,2012-08-01
178,Offworld Trading Company,7.3,7.3,2016-04-28
179,Stellaris: Distant Stars,6.5,6.5,2018-05-22
180,Galactic Civilizations: Altarian Prophecy,6.9,6.9,2004-11-12
181,Ground Control: Dark Conspiracy,6.6,6.6,2000-12-14
182,Battlefleet Gothic: Armada 2,7.6,7.6,2019-01-24
183,Strange Adventures in Infinite Space,tbd,tbd,2002-02-22
184,They Are Billions,6.2,6.2,2019-06-18
185,Soldiers: Heroes of World War II,8.3,8.3,2004-06-30
186,Command & Conquer 3: Kane's Wrath,8.0,8.0,2008-03-24
187,Men of War: Assault Squad,8.0,8.0,2011-02-25
188,Arena Wars,7.7,7.7,2004-09-13
189,Anomaly 2,7.7,7.7,2013-05-15
190,Ancestors Legacy,7.2,7.2,2018-05-22
191,Universe at War: Earth Assault,8.5,8.5,2007-12-10
192,Interloper,7.2,7.2,2015-05-21
193,Hearts of Iron III,7.2,7.2,2009-08-07
194,Nexus: The Jupiter Incident,8.7,8.7,2005-02-24
195,Supreme Commander 2,6.2,6.2,2010-03-01
196,Total War: Attila - Age of Charlemagne,7.7,7.7,2015-12-10
197,Battlefleet Gothic: Armada,7.4,7.4,2016-04-21
198,Knights of Honor,8.8,8.8,2005-06-06
199,MoonBase Commander,6.9,6.9,2002-08-13
200,Starfleet Command Volume II: Empires at War,6.4,6.4,2000-12-13
201,Crusader Kings II: Sons of Abraham,7.6,7.6,2013-11-18
202,Grey Goo,7.4,7.4,2015-01-23
203,Perimeter,7.6,7.6,2004-06-30
204,Warhammer 40000: Dawn of War III,4.6,4.6,2017-04-27
205,Dark Reign 2,7.1,7.1,2000-06-30
206,Men of War: Red Tide,7.8,7.8,2009-11-01
207,Patrician II: Quest for Power,6.9,6.9,2001-10-08
208,Battlestations: Midway,7.4,7.4,2007-01-30
209,Heroes of Newerth,7.3,7.3,2010-05-12
210,Frozen Synapse 2,7.4,7.4,2018-09-13
211,Worbital,tbd,tbd,2019-01-31
212,Victoria II: A House Divided,8.4,8.4,2012-01-24
213,Master X Master,7.6,7.6,2017-06-21
214,Total War: Rome II,4.3,4.3,2013-09-02
215,Multiwinia: Survival of the Flattest,8.7,8.7,2008-09-19
216,American Conquest,7.8,7.8,2003-02-05
217,Mushroom Wars 2,6.4,6.4,2017-10-06
218,Rush for Berlin,7.3,7.3,2006-06-12
219,Imperator: Rome,4.7,4.7,2019-04-25
220,R.U.S.E.,7.9,7.9,2010-09-07
221,Gigantic,8.4,8.4,2017-07-20
222,Myth III: The Wolf Age,6.8,6.8,2001-10-30
223,Demigod,7.7,7.7,2009-04-14
224,Super Monday Night Combat,3.7,3.7,2012-04-19
225,Victoria II,8.2,8.2,2010-08-13
226,A Total War Saga: Thrones of Britannia,5.3,5.3,2018-05-02
227,Space Colony,7.5,7.5,2003-10-14
228,Patrician III: Rise of the Hanse,8.8,8.8,2003-10-31
229,Space Run Galaxy,5.4,5.4,2016-06-17
230,Star Wars: Empire at War: Forces of Corruption,8.6,8.6,2006-10-24
231,Port Royale 2,7.7,7.7,2004-09-13
232,Satellite Reign,7.7,7.7,2015-08-28
233,Infested Planet,7.7,7.7,2014-03-06
234,Blitzkrieg 2,7.5,7.5,2005-10-02
235,Evil Genius,8.3,8.3,2004-09-28
236,Atom Zombie Smasher,7.1,7.1,2011-01-23
237,Hegemonia: Legions of Iron,7.6,7.6,2002-11-13
238,Napoleon: Total War - The Peninsular Campaign,7.5,7.5,2010-07-25
239,Stellaris: MegaCorp,6.2,6.2,2018-12-06
240,Black & White 2,7.3,7.3,2005-10-04
241,Star Wars Galactic Battlegrounds,7.9,7.9,2001-11-11
242,PeaceMaker,tbd,tbd,2007-05-02
243,BattleForge,7.1,7.1,2009-03-23
244,Iron Brigade,5.3,5.3,2012-08-13
245,Blitzkrieg: Burning Horizon,7.7,7.7,2004-06-13
246,Sol Survivor,7.7,7.7,2010-03-15
247,Total War: Arena,7.8,7.8,2018-02-22
248,Battlestations: Pacific,7.8,7.8,2009-05-12
