rank,title,score,user_score,release_date
192,The Sims 3: Ambitions,7.1,7.1,2010-06-01
193,Railway Empire,6.4,6.4,2018-01-26
194,Arma 3 Apex,7.5,7.5,2016-07-11
195,Star Trek: Klingon Academy,7.2,7.2,2000-06-21
196,Comanche 4,7.6,7.6,2001-11-12
197,The Sims 3 Supernatural,6.2,6.2,2012-09-04
198,The Sims: House Party,7.8,7.8,2001-03-26
199,GRID,5.1,5.1,2019-10-08
200,Dirt Track Racing 2,7.0,7.0,2002-09-01
201,Pro Race Driver,7.4,7.4,2003-04-15
202,IL-2 Sturmovik: Battle of Stalingrad,6.0,6.0,2014-08-14
203,Cloudpunk,7.5,7.5,2020-04-23
204,Eagle Flight,6.9,6.9,2016-10-13
205,The Sims 2: Bon Voyage,7.5,7.5,2007-09-04
206,MechWarrior 5: Mercenaries,5.1,5.1,2019-12-10
207,The History Channel: Battle of Britain: World War II 1940,4.8,4.8,2003-10-16
208,Arma 3,7.5,7.5,2013-03-05
209,The Sims 2: FreeTime,7.5,7.5,2008-02-26
210,The Crew: Wild Run,7.1,7.1,2015-11-17
211,Mainlining,tbd,tbd,2017-01-26
212,Motor City Online,6.3,6.3,2001-10-29
213,Apache Longbow Assault,7.0,7.0,2004-02-05
214,Punch Club,7.0,7.0,2016-01-08
215,Farming Simulator 19,6.3,6.3,2018-11-19
216,The Sims: Castaway Stories,7.5,7.5,2008-01-29
217,The Sims 3: Island Paradise,5.9,5.9,2013-06-25
218,Train Simulator 2015,4.7,4.7,2014-09-18
219,4x4 Evolution,6.4,6.4,2000-10-29
220,The Sims 4: Get to Work,5.8,5.8,2015-03-31
221,Gas Guzzlers Extreme,8.6,8.6,2013-10-08
222,My Time At Portia,6.9,6.9,2019-01-15
223,The Sims 3 Seasons,7.4,7.4,2012-11-13
224,Bandits: Phoenix Rising,7.4,7.4,2003-03-28
225,X3: Terran Conflict,7.9,7.9,2008-10-16
226,The Sims 4: Tiny Living,tbd,tbd,2020-01-21
227,The Sims 3: University Life,7.1,7.1,2013-03-05
228,Secret Weapons Over Normandy,7.6,7.6,2003-11-18
229,The Sims: Life Stories,7.5,7.5,2007-02-06
230,DiRT Showdown,5.6,5.6,2012-05-23
231,Blazing Angels 2: Secret Missions of WWII,4.9,4.9,2007-09-21
232,Valentino Rossi The Game,5.8,5.8,2016-06-16
233,Test Drive Unlimited 2,5.8,5.8,2011-02-08
234,Dream Daddy: A Dad Dating Simulator,7.5,7.5,2017-07-20
235,The Sims 4: Get Together,7.3,7.3,2015-12-08
236,Cities in Motion 2,7.2,7.2,2013-04-02
237,IndyCar Series,7.7,7.7,2003-09-23
238,Rail Simulator,6.9,6.9,2008-01-16
239,DYSTORIA,tbd,tbd,2017-02-20
240,Daemon X Machina,6.7,6.7,2020-02-13
241,Race Injection,8.4,8.4,2011-11-18
242,X2: The Threat,7.2,7.2,2003-12-03
243,The Crew,6.3,6.3,2014-12-01
244,MX vs. ATV Unleashed,7.3,7.3,2006-01-16
245,F1 World Grand Prix,6.9,6.9,2000-07-01
246,DarkStar One,7.2,7.2,2006-08-14
247,Surgeon Simulator 2013,5.9,5.9,2013-04-19
248,Silent Hunter II,7.6,7.6,2001-11-05
249,Space Interceptor: Project Freedom,6.6,6.6,2004-11-09
250,A Normal Lost Phone,6.5,6.5,2017-01-26
251,Starshatter,8.0,8.0,2004-07-01
252,Master Rallye,5.6,5.6,2002-04-17
253,Zone of the Enders: The 2nd Runner MARS,5.9,5.9,2018-09-04
254,X3: Reunion,6.8,6.8,2005-11-10
255,Star Wars: Starfighter,6.6,6.6,2002-01-20
256,Sublevel Zero,7.1,7.1,2015-10-08
257,Not Tonight,7.0,7.0,2018-08-17
258,Sea Dogs,8.3,8.3,2000-11-24
259,Virtual Skipper 3,tbd,tbd,2004-10-04
260,Beat Cop,7.5,7.5,2017-03-30
261,Steel Armor: Blaze of War,tbd,tbd,2015-03-05
262,Take On Helicopters,6.7,6.7,2011-10-16
263,Battlewake,tbd,tbd,2019-09-10
264,Cities in Motion,7.7,7.7,2011-02-22
265,Tech Support: Error Unknown,5.1,5.1,2019-02-27
266,Need for Speed: ProStreet,6.2,6.2,2007-11-13
267,The Sims 3: Generations,3.8,3.8,2011-05-31
268,Tom Clancy's HAWX,7.2,7.2,2009-03-17
269,MySims,6.4,6.4,2008-10-28
270,Road Redemption,7.1,7.1,2017-10-04
271,Evochron Mercenary,7.6,7.6,2010-09-17
272,WRC 7,7.0,7.0,2017-09-15
273,F1 Championship Season 2000,7.8,7.8,2000-12-06
274,Echelon,7.3,7.3,2001-05-16
275,The Sims 4,4.1,4.1,2014-09-02
276,RIDE 3,6.4,6.4,2018-11-30
277,Pure Farming 2018,7.2,7.2,2018-03-13
278,EVE: Valkyrie,4.6,4.6,2016-11-17
279,Diaries of a Spaceport Janitor,6.6,6.6,2016-09-16
280,The Shrouded Isle,6.0,6.0,2017-08-04
281,Fishing: Barents Sea,6.8,6.8,2018-02-07
282,X-Plane,5.8,5.8,2000-11-30
283,Wings of War,7.6,7.6,2004-08-30
284,4x4 EVO 2,7.3,7.3,2001-10-30
285,Need for Speed: The Run,6.1,6.1,2011-11-15
286,Graveyard Keeper,6.8,6.8,2018-08-15
287,Leadfoot,7.6,7.6,2001-06-01
288,Wings Over Vietnam,tbd,tbd,2004-11-08
289,Eurofighter Typhoon,7.2,7.2,2001-07-30
290,Combat Flight Simulator 3: Battle for Europe,6.6,6.6,2002-10-25
291,SIMULACRA 2,tbd,tbd,2020-01-30
292,Euro Truck Simulator 2: Go East,8.2,8.2,2013-09-20
293,1nsane,7.8,7.8,2001-02-05
294,World of Warplanes,5.3,5.3,2013-07-02
295,Farming Simulator 17,7.6,7.6,2016-10-24
296,Steel Rats,7.3,7.3,2018-11-07
297,NASCAR Thunder 2003,5.2,5.2,2002-10-16
298,Kudos,7.2,7.2,2006-07-17
299,World Racing 2,7.4,7.4,2006-08-14
300,Car Mechanic Simulator 2015,8.4,8.4,2015-04-23
301,Bang! Gunship Elite,6.5,6.5,2000-07-19
302,FIA European Truck Racing Championship,tbd,tbd,2019-07-18
303,Need for Speed,5.3,5.3,2016-03-15
304,911 Operator,7.2,7.2,2017-02-24
305,Job Simulator,8.1,8.1,2016-04-05
306,House Flipper,7.4,7.4,2018-05-17
307,RIDE,5.1,5.1,2015-03-27
308,Mobile Forces,7.4,7.4,2002-08-16
309,Long Live the Queen,7.7,7.7,2012-05-31
310,Train Fever,6.9,6.9,2014-09-04
311,SpinTires,7.8,7.8,2014-06-12
312,X: Beyond the Frontier,7.4,7.4,2000-01-26
313,Railworks 3: Train Simulator 2012,6.8,6.8,2011-09-23
314,The Sims Medieval: Pirates & Nobles,4.5,4.5,2011-08-30
